GAMBLING FROM,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AUSTRALIA,
Casino,32.0 ,  -   ,15.2 ,6.1 ,  -   ,  -   ,54.3 ,16.3 ,22.6 ,
Gaming Machines,29.3 ,19.5 ,11.7 ,15.6 ,10.8 ,  -   ,36.0 ,  -   ,20.9 ,
Interactive Gaming,  -   ,  -   ,165.7 ,  -   ,  -   ,  -   ,  -   ,  -   ,165.7 ,
Keno,-27.3 ,31.1 ,0.8 ,14.3 ,5.4 ,  -   ,125.4 ,  -   ,18.7 ,
Lotteries,0.4 ,-3.0 ,-6.1 ,-0.2 ,4.3 ,0.5 ,-2.8 ,1.9 ,-1.1 ,
Minor Gaming,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,19.9 ,19.9 ,
Total Gaming,22.2 ,19.0 ,13.9 ,13.2 ,10.4 ,0.5 ,36.6 ,11.9 ,20.1 ,
Total Wagering,-4.7 ,-8.1 ,-18.5 ,10.6 ,-0.4 ,-9.3 ,  -   ,9.1 ,2.9 ,
Total All Gambling,14.6 ,17.1 ,8.6 ,12.7 ,9.8 ,-5.3 ,36.6 ,10.3 ,18.2 ,

